,PN,REF,ISD,CPC,IPC,b_cits
133,6493690,30,2002-12-10,2,4,"['4622013', '4874784', '4981766', '4931950', '4964077', '4997529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577176', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727161', '5727950', '5745652', '5772446', '5779468', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6134539', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358']"
134,6446014,15,2002-09-03,3,4,['NULL']
135,6437696,64,2002-08-20,6,2,"['4816377', '4843377', '4918425', '4918432', '4924211', '4943885', '4952913', '4952928', '4980671', '4999613', '5023901', '5032823', '5075670', '5103474', '5117222', '5146207', '5170426', '5182543', '5182566', '5187805', '5202829', '5204670', '5206897', '5218344', '5223844', '5225842', '5243652', '5255306', '5266944', '5298884', '5323322', '5341126', '5345244', '5359332', '5369394', '5379244', '5382958', '5389934', '5390125', '5396540', '5408238', '5414432', '5418537', '5422813', '5422816', '5430656', '5434787', '5448221', '5455851', '5461390', '5471197', '5868100', '5905461', '6054928', '6072396']"
136,6434530,366,2002-08-13,7,5,"['3792437', '4723212', '4780599', '4882724', '4910672', '5047614', '5173851', '5237157', '5250789', '5361871', '5424524', '5457307', '5583487', '5595264', '5630071', '5637847', '5729697', '5739513', '5774860', '5850187', '5887271', '5897622', '5918211', '5979757', '6021403', '6032126']"
137,6424956,57,2002-07-23,1,3,['NULL']
138,6390097,26,2002-05-21,4,2,['NULL']
139,6363328,5,2002-03-26,4,5,"['4939574', '5668634', '5944598']"
140,6351713,36,2002-02-26,10,8,"['5210704', '5239468', '5309379', '5333240', '5566092', '5602761', '5608845', '5852793', '5875420', '5952587', '6076405']"
141,6345205,5,2002-02-05,8,6,['NULL']
142,6331964,31,2001-12-18,9,6,['NULL']
143,6317728,473,2001-11-13,2,1,"['4674044', '5101353', '5297031', '5305200', '5375055', '5497317', '5563783', '5671363', '5845266', '5873071', '6012042', '6018722']"
144,6317486,12,2001-11-13,5,8,['NULL']
145,6308649,41,2001-10-30,2,2,"['3654807', '3763703', '3800128', '3814910', '3875388', '3881094', '3881095', '4340936', '4671201', '4785404', '5452216']"
146,6278913,103,2001-08-21,1,3,['NULL']
147,6275789,395,2001-08-14,4,2,['NULL']
148,6273822,12,2001-08-14,5,2,['NULL']
149,6259889,57,2001-07-10,9,4,['NULL']
150,6246326,141,2001-06-12,5,2,['NULL']
151,6185337,20,2001-02-06,1,2,"['5058184', '5164992', '5331544', '5337372', '5432864', '5497430', '5550928', '5566273', '5629752', '5675663', '5710833', '5719951', '5901244']"
152,6164973,35,2000-12-26,2,6,['NULL']
153,6141241,318,2000-10-31,8,6,['NULL']
154,6137912,20,2000-10-24,4,3,['NULL']
